code=947, textureId=0, prespace=0, width=13, advance=13, top=(478, 40), bottom=(491, 53)
code=948, textureId=0, prespace=0, width=13, advance=13, top=(491, 40), bottom=(504, 53)
code=949, textureId=0, prespace=0, width=13, advance=13, top=(1, 53), bottom=(14, 66)
code=950, textureId=0, prespace=0, width=13, advance=13, top=(14, 53), bottom=(27, 66)
code=951, textureId=0, prespace=0, width=13, advance=13, top=(27, 53), bottom=(40, 66)
code=952, textureId=0, prespace=0, width=13, advance=13, top=(40, 53), bottom=(53, 66)
code=953, textureId=0, prespace=0, width=13, advance=13, top=(53, 53), bottom=(66, 66)
code=954, textureId=0, prespace=0, width=13, advance=13, top=(66, 53), bottom=(79, 66)
code=955, textureId=0, prespace=0, width=13, advance=13, top=(79, 53), bottom=(92, 66)
code=956, textureId=0, prespace=0, width=13, advance=13, top=(92, 53), bottom=(105, 66)
code=957, textureId=0, prespace=0, width=13, advance=13, top=(105, 53), bottom=(118, 66)
code=958, textureId=0, prespace=0, width=13, advance=13, top=(118, 53), bottom=(131, 66)
code=959, textureId=0, prespace=0, width=13, advance=13, top=(131, 53), bottom=(144, 66)
code=960, textureId=0, prespace=0, width=13, advance=13, top=(144, 53), bottom=(157, 66)
code=961, textureId=0, prespace=0, width=13, advance=13, top=(157, 53), bottom=(170, 66)
code=963, textureId=0, prespace=0, width=13, advance=13, top=(170, 53), bottom=(183, 66)
code=964, textureId=0, prespace=0, width=13, advance=13, top=(183, 53), bottom=(196, 66)
code=965, textureId=0, prespace=0, width=13, advance=13, top=(196, 53), bottom=(209, 66)
code=966, textureId=0, prespace=0, width=13, advance=13, top=(209, 53), bottom=(222, 66)
code=967, textureId=0, prespace=0, width=13, advance=13, top=(222, 53), bottom=(235, 66)
code=968, textureId=0, prespace=0, width=13, advance=13, top=(235, 53), bottom=(248, 66)
code=969, textureId=0, prespace=0, width=13, advance=13, top=(248, 53), bottom=(261, 66)
code=1025, textureId=0, prespace=0, width=13, advance=13, top=(261, 53), bottom=(274, 66)
code=1040, textureId=0, prespace=0, width=13, advance=13, top=(274, 53), bottom=(287, 66)
code=1041, textureId=0, prespace=0, width=13, advance=13, top=(287, 53), bottom=(300, 66)
code=1042, textureId=0, prespace=0, width=13, advance=13, top=(300, 53), bottom=(313, 66)
